attraction_dist,filled_frac_SNR,filled_frac_freq,filled_frac_mean,filled_frac_std,gzip_compression_ratio,max_height,mean_height,precip_amplitude,precip_frac_total,roughness_cv,roughness_local,sed_frac_total,sim_id,stability_dist
19,23.706951953062678,0.018571428571428572,0.4421813882270719,0.06453138239684864,8.617293677368524,1.0,0.9999847619047618,0.07713142094729819,0.24551809523809523,9.97047371995241e-5,0.16915171678234567,0.19665619047619048,sim_20260317_134054_9b13b503,3
10,19.517114101347776,0.007142857142857143,0.9922984076828404,0.01206560187261745,17.739183321788786,0.36533333333333334,0.3405961904761905,0.08235490326884588,0.12716952380952382,0.03703470472057137,2.329754050150295,0.2108590476190476,sim_20260317_134059_fd1df40e,26
26,18.90683144888346,0.015714285714285715,0.8959021970202358,0.04232385421027444,8.523834264190155,1.0,0.9999657142857143,0.2881987991994663,0.6942704761904762,0.00014735718397682003,0.20716769761626044,0.20160190476190476,sim_20260317_134059_a7fe5b3b,7
34,24.45888961894187,0.011428571428571429,0.9314790350009564,0.03326852967574606,9.120521172638437,0.8126666666666666,0.7955552380952381,0.24215476984656437,0.5291209523809524,0.011148740691564971,1.8521919891093213,0.21191428571428572,sim_20260317_134101_230f5042,15
6,15.791996719840435,0.008571428571428572,0.9884639580617389,0.009838698795844382,14.337406977538063,0.4166666666666667,0.40192285714285714,0.1135023348899266,0.18616857142857143,0.018772012554382076,1.8284823322868007,0.21113142857142858,sim_20260317_134102_79315375,12
28,19.688863613421116,0.01,0.5975362038184187,0.06606516086548918,10.448177041872313,1.0,0.9999971428571428,0.1376851234156104,0.4451552380952381,4.3581220674598036e-5,0.07564694744722338,0.1523790476190476,sim_20260317_134109_d2995cab,3
12,8.31872158053119,0.07857142857142857,0.9983701597744072,0.0007559611121684885,13.1521262604121,0.49333333333333335,0.4712428571428572,0.16206137424949965,0.25948666666666664,0.020667854026803496,1.4004904107340186,0.21098857142857144,sim_20260317_134112_ff4a5eae,41
35,20.73901124972753,0.008571428571428572,0.9888682824551301,0.011281943287405054,8.678474902677102,0.7986666666666666,0.7815542857142858,0.28800533689126084,0.5609866666666666,0.014393957403578222,1.395373512330205,0.2118790476190476,sim_20260317_134113_6e2b363a,26
19,11.95163476606364,0.005714285714285714,0.9974148370837184,0.0021108051432762913,16.532569161247658,0.38533333333333336,0.36557047619047617,0.10324883255503667,0.15330095238095237,0.03370291609192769,1.7728681610464085,0.21133047619047618,sim_20260317_134115_07f36545,42
16,7.798295276512748,0.05,0.9983426098927548,0.0009034533713623436,12.84670818396486,0.49666666666666665,0.4849561904761905,0.1709606404269513,0.27268190476190474,0.013787397625659984,1.4555895914217103,0.21147047619047618,sim_20260317_134115_0c8e135d,44
40,24.78856575308363,0.008571428571428572,0.7564056475613647,0.2849931682570209,19.566554236624864,0.42,0.36172571428571426,0.048498999332888586,0.06452,0.21623455923791202,33.96170948311844,0.21170285714285714,sim_20260317_134116_2346b102,30
17,27.783907476034223,0.012857142857142857,0.8134465179876981,0.2081920516679934,17.549137585238668,0.3873333333333333,0.35884952380952384,0.05275517011340893,0.08279047619047619,0.053301130354260526,7.815102213261167,0.21116761904761905,sim_20260317_134118_9ce2b346,20
3,13.128607272538247,0.004285714285714286,0.9935235674142336,0.003716928780959491,10.572953378310341,0.5873333333333334,0.5758990476190476,0.21739159439626415,0.3610161904761905,0.008981972341355777,1.3452613809660712,0.21115238095238095,sim_20260317_134120_e9db00ba,8
17,10.224086172226588,0.041428571428571426,0.998758276057342,0.000836441302421816,9.290308880650498,0.7386666666666667,0.7190580952380953,0.28510340226817876,0.5068828571428572,0.013149076647573723,1.3958860462363156,0.21128285714285713,sim_20260317_134122_8b2a81cc,31
34,27.187846984767084,0.005714285714285714,0.7696952379892151,0.2086264715939523,13.866328592369557,0.5146666666666667,0.47143142857142856,0.08719146097398266,0.15542952380952382,0.09726194876937558,14.569845591915039,0.21164,sim_20260317_134126_5f2004c4,22
44,20.924600311788147,0.004285714285714286,0.9923869641258084,0.013266673143124186,11.599902781767163,0.56,0.5321552380952381,0.17405603735823882,0.31650190476190476,0.03332834588304428,3.1520822193585887,0.21173809523809523,sim_20260317_134128_d5ecfaff,45
39,35.840322766037794,0.01,0.805559955421133,0.14002642817141225,10.542697926602742,0.7766666666666666,0.7565799999999999,0.16728485657104739,0.39825809523809524,0.0209394324936487,5.21648646546208,0.21212095238095238,sim_20260317_134129_fc83cad3,12
40,27.97284624824307,0.014285714285714285,0.7586390174931736,0.12424739504980012,11.18627816545038,0.7153333333333334,0.6972942857142858,0.12994663108739157,0.3169266666666667,0.024388526820360662,8.334906861454861,0.21220380952380952,sim_20260317_134132_aefc230f,9
15,18.729598450945122,0.011428571428571429,0.9683767206782201,0.01781625948628905,9.49161122360428,0.6913333333333334,0.6671447619047619,0.2125550366911274,0.43502285714285716,0.019685776615956187,1.8483260028673343,0.21100761904761905,sim_20260317_134137_8d0019c4,12
25,26.793719838901225,0.011428571428571429,0.625470139811912,0.25187108470803093,16.396514569474373,0.5,0.4564152380952381,0.05294863242161441,0.07924380952380952,0.10010436792532537,19.69644456416543,0.21147714285714286,sim_20260317_134138_6ad317a3,16
23,20.95554344393461,0.012857142857142857,0.6382394718167995,0.13450382518398876,10.196847717362804,0.7693333333333333,0.7308019047619047,0.09937958639092727,0.2558447619047619,0.0393996917442151,12.386999969336536,0.2113247619047619,sim_20260317_134138_0ba1dd94,8
49,25.35362052522939,0.014285714285714285,0.8678678137457996,0.16817650604973314,16.628131631457258,0.39,0.37766952380952384,0.07326217478318878,0.11694190476190476,0.03082303486013217,5.395648116584063,0.2122190476190476,sim_20260317_134139_3892926b,9
