attraction_dist,filled_frac_SNR,filled_frac_freq,filled_frac_mean,filled_frac_std,gzip_compression_ratio,max_height,mean_height,precip_frac_total,roughness_cv,roughness_local,sed_frac_total,sim_id,stability_dist
41,27.066741406547138,0.017142857142857144,0.6707565444047989,0.1987254148782795,13.137973749077213,0.5673333333333334,0.5464180952380953,0.1571209523809524,0.045040340424718495,13.955119150358957,0.2122190476190476,sim_20260317_144052_5262f834,6
39,31.637376937511696,0.015714285714285715,0.5552068422997021,0.20183424441165532,12.313826668230327,0.7106666666666667,0.674287619047619,0.16432095238095237,0.06253431247947697,27.56643685044316,0.21216,sim_20260317_144053_c5e0a00f,7
7,11.314029840276348,0.011428571428571429,0.9967710814642635,0.0033139147671025914,19.095769832320954,0.3393333333333333,0.3236038095238095,0.11152380952380953,0.01987082961793657,1.6478190380804478,0.21103714285714287,sim_20260317_144057_4997abc5,24
15,25.38041150231354,0.014285714285714285,0.9039581857459428,0.09680502330149891,14.712270033207695,0.42733333333333334,0.39542666666666665,0.14690761904761904,0.039543295448027795,4.048172020750245,0.21082571428571428,sim_20260317_144058_21550cd3,18
19,23.315107359048298,0.012857142857142857,0.7043261558453964,0.12242497080266236,12.230492364678337,0.5666666666666667,0.5305495238095238,0.16316190476190476,0.047770455414273987,8.912385492365146,0.21099809523809523,sim_20260317_144100_98da057c,11
10,11.870494391098047,0.007142857142857143,0.9970281932987314,0.002385626149190619,19.026564708440546,0.3453333333333333,0.3260542857142857,0.11407619047619047,0.03368078944486435,1.6783567138547588,0.2110142857142857,sim_20260317_144105_69d69f45,34
30,24.674178064452185,0.008571428571428572,0.4391404205272907,0.1531830958146523,10.584997530167243,0.9426666666666667,0.8848209523809524,0.18026857142857142,0.05603667146293122,22.328795473471857,0.21148857142857144,sim_20260317_144114_bd212058,7
11,8.703296270062548,0.02,0.9975270589475287,0.001316196183871466,19.20403833491843,0.336,0.32191333333333333,0.10991142857142858,0.015622020746187666,1.480923038922111,0.21120571428571427,sim_20260317_144117_77feb341,43
36,27.485620767652712,0.008571428571428572,0.802465187446666,0.2139796877425124,14.894039547221197,0.466,0.42740476190476195,0.13417904761904761,0.07707604779409002,13.029898489608401,0.21155142857142858,sim_20260317_144117_0caf5274,28
24,19.787433819468955,0.005714285714285714,0.9844155518447639,0.033166155443909225,17.557060446450965,0.36933333333333335,0.34282571428571423,0.12643142857142858,0.06108042530862242,3.7080510172068655,0.21135809523809523,sim_20260317_144119_79ed57d5,44
29,23.627147664006493,0.007142857142857143,0.8330557074124983,0.1794319145655831,15.033503235782602,0.45,0.4146352380952381,0.13627333333333333,0.0805815212779086,13.967261946949614,0.21147142857142856,sim_20260317_144122_3cd71ed1,26
